番剧id,分数,评分人数,番剧名,番剧简介,播放次数,播放时间
207,9.7,429,"""头文字D First Stage""",  故事的主人公藤原拓海是个普通的高中男生，拥有无与伦比的飞车天赋。从中一开始，每天早上驾驶那辆AE...,3479540,"""1998-04-19"""
2597,9.7,424,"""东京教父""",少女美由纪不理解自己的父母，有些任性。在父亲（警察）送走了自己喜爱的宠物后对父母的不满情绪倾泻而出，...,461971,"""2003-11-08"""
1446,9.7,420,"""校园迷糊大王""",《校园迷糊大王》是由日本漫画家小林尽在《周刊少年Magazine》（讲谈社）上连载的一部校园喜剧漫画...,325956,"""2004-10-10"""
5297,9.7,414,"""千年女优""",在片中，藤原千代子是战后日本银映电影公司鼎盛时期的巨星，她演遍了日本历史上，自战国时代、幕府时代、大...,467694,"""2001-07-28"""
1274,9.7,392,"""英雄时代""",在遥远的时空彼方，宇宙中存在着一群自称为“黄金一族”的强大生物。拥有预知未来、创造星群能力的他们，向...,1218428,"""2007-04-01"""
5761,9.7,389,"""精灵宝可梦 无印""",这是一篇与原作RPG主角一样从真新镇出发的少年小智，和他的口袋妖怪与皮卡丘，刻画友情与成长的故事。沿...,2737903,"""1997-04-01"""
334,9.7,371,"""RWBY 第二季""",酷炫狂霸拽的四位女主飒爽回归！《RWBY》二期动画将会有新角色登场，在最初的四部前导预告片中出现的反...,8963247,"""2014-07-24"""
1630,9.7,315,"""EVA 新世纪福音战士剧场版：Air / 真心为你""",《EVA 新世纪福音战士剧场版：THE END OF EVANGELION》。主要讲述了在碇原堂急于...,407849,"""1997-07-19"""
790,9.7,313,"""交响诗篇 第一季""",故事讲述了名叫兰顿·萨斯顿（Renton Thurston）的少年与神秘的少女LFO驾驶员优莱卡（E...,341575,"""2005-04-17"""
2194,9.7,298,"""恐怖宠物店""",《恐怖宠物店》是秋乃茉莉的恐怖空想漫画。以前由《アップルミステリー》月刊漫画杂志连载。1998年，在...,735982,"""1999-03-01"""
2321,9.7,250,"""怪盗圣少女""",《圣少女》，日文原名是《怪盗 セイント・テール》，正式译名为《怪盗St. Tail》（港译），台湾译...,884216,"""1995-10-12"""
3370,9.7,224,"""间之楔""",由吉原理惠子的轻小说原作改编而成，原作被誉为三大长篇男同性恋轻小说之一。《间之楔》意思是窄缝中的楔子...,2577977,"""1992-08-01"""
103,9.7,215,"""KERORO军曹""",《Keroro军曹》是日本的一部喜剧动漫作品，原作漫画版作者为吉崎观音，原是针对成人读者的漫画，其後...,3009833,"""2004-04-03"""
1835,9.7,203,"""魔兵传奇""",初中生虎水银太本是个体能低下眼睛近视的的弱质儿童，当因缘巧合的到了异世界，那里的引力比地球要小很多，...,818723,"""2005-04-03"""
1567,9.7,194,"""攻壳机动队2 无罪""",《攻壳机动队》，是由日本漫画家士郎正宗1989年4月22日首次连载于讲谈社青年漫画月刊《Young ...,361349,"""2004-03-06"""
3880,9.7,189,"""蜡笔小新 呼风唤雨！大人帝国的反击""",这天在小新居住的春日部附近，突然新开了一家叫“20世纪博”的游乐园。游乐园里到处播放着从前20世纪的...,105284,"""2001-04-21"""
2338,9.7,188,"""幽游白书""",一个十四岁的不良少年，浦饭幽助为了救一名小孩而被汽车撞死了，由于灵界并没有预计到他的死亡，并没有他的...,1732994,"""1992-10-10"""
1224,9.7,172,"""北斗神拳""",当世界由于大规模的核战争而遭到毁灭性打击后，人类为了争夺仅有的淡水和食物开始互相抢夺厮杀，为了解救黑...,1404954,"""1984-10-04"""
5349,9.7,172,"""包在小可身上""",劇場版『カードキャプターさくら 封印されたカード』の同時上映。ケルベロス（ケロちゃん）とスピネル（ス...,359686,"""2000-07-15"""
6264,9.7,158,"""蜡笔小新 第三季（中文）""",《蜡笔小新》（日语：クレヨンしんちゃん，英语：Crayon Shin-chan）是日本已故漫画家臼井...,1715687,"""2004-01-01"""
2702,9.7,152,"""战斗妖精雪风""",《战斗妖精雪风》故事描述人类虽能将神秘的外星生物“迦姆”的势力逐出地球，但双方的攻防战却延伸到了另一...,240552,"""2002-08-25"""
2900,9.7,150,"""小马宝莉 小马国女孩""",纽约玩具展上，官方正式宣布——《小马国女孩3：友谊大赛》[（Equestria Girls: Fri...,1059928,"""2015-09-26"""
4033,9.7,141,"""RWBY Chibi""","Join the cast of RWBY in a new series of cute, com...",3014127,"""2016-05-07"""
2664,9.7,129,"""回忆三部曲 Memories""",本片由三段互无关联的故事组成。《她的回忆》：2092年，由伊瓦诺夫领导的太空垃圾回收飞船在返航途中接...,167027,"""1995-12-23"""
2425,9.7,125,"""棒球英豪 TV版""",上杉达也（三矢雄二 配音）和上杉和也（难波圭一 配音）是一对孪生兄弟，与住在隔壁的浅仓南（日高法子 ...,806454,"""1985-03-25"""
2825,9.7,122,"""花田少年史""","故事发生在很久以前的日本，彩电还没普及的时代……
花田一路，小学三年级学生，是个村里远近闻名的捣蛋鬼...",255835,"""2002-10-01"""
2416,9.7,116,"""城市猎人 TV版""",《城市猎人》TV动画共有4部，另有3话TV Special，4部分别是《城市猎人》、《城市猎人2》、...,861847,"""1987-04-07"""
5351,9.7,106,"""吸血鬼猎人D""",　　根据小说版第三作《D-妖杀行》改编。2000年8月25日以《Vampire Hunter D: ...,244221,"""2000-08-25"""
5383,9.7,102,"""星际牛仔""",2071年，随着超光速航行技术的实现，人类得以在太阳系范围内方便的自由移动，但是由于设计上的失误，这...,1710349,"""1998-10-23"""
2576,9.6,9492,"""OVERLORD""",关于穿越后变成骷髅王装逼很累这件事,89854484,"""2015-07-07"""
6470,9.6,5672,"""无论何时我们的恋情都是10厘米。～告白实行委员会～""",TV动画以《无论何时我们的恋情都是10厘米。》为题，于2017年11月25日开始播出，全6话。主角是...,3985448,"""2017-11-25"""
1635,9.6,5426,"""EVA 新世纪福音战士""",勇敢的骚年啊快起床找机机！,4184028,"""1995-10-04"""
1699,9.6,4716,"""四月是你的谎言""",从小接受母亲严格的钢琴训练，并在各种音乐比赛上获胜的“神童”——有马公生，11岁那年因为母亲去世，他...,51958446,"""2014-10-09"""
1540,9.6,4275,"""我的青春恋爱物语果然有问题。 续""",利比亚的孤独哲学系大老师又开课啦,33112747,"""2015-04-02"""
1539,9.6,4260,"""我的青春恋爱物语果然有问题。""",就读于千叶市立综武高等学校高二年级的比企谷八幡，从幼年时代就交不到什么朋友。正当他已经放弃了交朋友这...,11517044,"""2013-04-04"""
5707,9.6,3117,"""精灵宝可梦 日月""",《精灵宝可梦太阳&月亮》是日本东京电视系于2016年11月制播的精灵宝可梦动画的第六个系列，接档《精...,23196178,"""2016-11-17"""
5070,9.6,3008,"""齐木楠雄的灾难（日播&精选版）""",高中生·齐木楠雄是超能力者。心灵感应、念动力、透视、预知、瞬间移动、千里眼等，不论任何事情都自由自在...,168232573,"""2016-07-04"""
5058,9.6,2968,"""路人超能100(灵能百分百)""",平凡的中学二年级少年影山茂夫，因其微弱的存在感与名字茂夫的谐音被周遭人称为龙套（モブ），但不起眼的他...,26770335,"""2016-07-12"""
3516,9.6,2433,"""白色相簿2""",故事发生在2007年秋季的东京都。峰城大附属3年级学生北原春希为了制造学生时代最后的回忆加入了轻音乐...,2541206,"""2013-10-05"""
5796,9.6,2233,"""兽娘动物园""",有各种动物充满谜团的“加帕利动物园”，游戏内包含有众多少女化的动物，并且能和她们做朋友，而本次动画化...,5021330,"""2017-01-10"""
5977,9.6,2170,"""夏目友人帐 陆""",从小就能看见妖怪的少年夏目贵志。自从他从祖母玲子那里继承了与妖怪成为主从并将其名字书写在上的契约书“...,19757374,"""2017-04-12"""
21675,9.6,2123,"""Slow Start""",一之濑花名由于在高中升学考试前一天患上严重腮腺炎缺席了公立与私立高中的考试，结果无奈的成为了一名中考...,3486377,"""2018-01-07"""
1732,9.6,2014,"""幻想嘉年华""",在一间不起眼的小酒馆里，正有一群不明身份的神秘人士在喝酒。从他们的言谈之间可以隐约得知，一场可能会打...,6253607,"""2011-08-14"""
1598,9.6,1730,"""来自新世界""",作品以千年之后的未来为背景，讲述了日本的孩子们不断地消失，只存在想象中的奇异动物与人类展开战争的故事...,3086533,"""2012-09-28"""
1057,9.6,1650,"""凉宫春日的忧郁 2009版""",“我对普通的人类没有兴趣。你们之中要是有外星人、未来人、异世界来的人、超能力者，就尽管来找我吧！以上...,2313647,"""2009-04-02"""
1359,9.6,1572,"""永生之酒""",1711年的大西洋上，背井离乡的炼金术师们从恶魔手中得到了奇妙的不死药——那便是永生之酒。喝了永生之...,721350,"""2007-07-26"""
3428,9.6,1567,"""OVERLORD SP""",作品主要讲述了某天，一款曾经掀起过大热潮的VRMMORPG「YGGDRASIL」停止了运营。游戏原本...,13764198,"""2015-08-04"""
1660,9.6,1524,"""夏目友人帐""",夏目贵志生来拥有强大的灵力，能感知平常人所无法接触的妖怪神明的存在。因父母双亡，他多年间辗转于互相推...,14986679,"""2008-07-07"""
1656,9.6,1455,"""无头骑士异闻录""",一群影帝闹池袋?隔三差五拆路牌!,9288856,"""2010-01-07"""
1547,9.6,1364,"""吹响吧！上低音号""",京阿尼吹喇叭,10439628,"""2015-04-07"""
6485,9.6,1306,"""IDOLiSH7-偶像星愿-""",7位帅哥组成的人气偶像男团IDOLiSH7将会在动画里为大家演绎男偶像们的故事。,1180173,"""2017-11-03"""
5064,9.6,1220,"""Thunderbolt Fantasy 东离剑游纪""",台湾布袋戏《东离剑游纪》是由日本动画界知名剧本家虚渊玄指导，台湾霹雳国际多媒体股份有限公司摄影制作。...,11119876,"""2016-07-08"""
4155,9.6,1175,"""玉子爱情故事""",【本片翻译由雪飘工作室提供】时已入春，已经进入高中三年级的北白川玉子仍然总是想着打糕的事情。春天傍晚...,891852,"""2014-04-26"""
4586,9.6,1151,"""黑执事II""",目前在「月刊GFantasy」上连载中的漫画作品「黑执事」（作者：枢やな），曾于08年10月改编为T...,832141,"""2010-07-01"""
